""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"128110"	0.4	0.512396694214876	0.391735537190083	0.447933884297521	0.226446280991736	0.00826446280991736	0.00661157024793388	0.00495867768595041	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128120"	0.327388535031847	0.625477707006369	0.561783439490446	0.371974522292994	0.0535031847133758	0.0394904458598726	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128123"	0.319230769230769	0.698076923076923	0.421153846153846	0.396153846153846	0.0903846153846154	0.0230769230769231	0.0442307692307692	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128124"	0.32741935483871	0.532258064516129	0.387096774193548	0.545161290322581	0.138709677419355	0.0209677419354839	0.0370967741935484	0.00806451612903226	0.00161290322580645	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128137"	0.266666666666667	0.627586206896552	0.404597701149425	0.491954022988506	0.167816091954023	0.00689655172413793	0.00229885057471264	0.00919540229885057	0.00689655172413793	0.00689655172413793	0.00459770114942529	0	0.00229885057471264	1e-05	1e-05	1e-05	"c"
"128142"	0.426666666666667	0.631111111111111	0.484444444444444	0.191111111111111	0.24	0.00444444444444444	0.00444444444444444	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128143"	0.353125	0.70625	0.503125	0.296875	0.090625	0.0125	0.0125	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396607"	0.4	0.657407407407407	0.427777777777778	0.316666666666667	0.153703703703704	0.0111111111111111	0.0222222222222222	0.00740740740740741	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396608"	0.3418410041841	0.805439330543933	0.633891213389121	0.0836820083682008	0.116317991631799	0.0117154811715481	0.00334728033472803	0.000836820083682008	0.00125523012552301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559195"	0.439344262295082	0.639344262295082	0.39672131147541	0.242622950819672	0.204918032786885	0.0131147540983607	0.0114754098360656	0.0344262295081967	0.0147540983606557	0.00163934426229508	0	0	0	1e-05	1e-05	1e-05	"c"
"9559196"	0.436363636363636	0.706060606060606	0.45	0.175757575757576	0.165151515151515	0.0106060606060606	0.0257575757575758	0.0196969696969697	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559229"	0.388774403470716	0.588015184381779	0.360032537960954	0.403470715835141	0.256670281995662	0.00244034707158351	0.000379609544468547	0.000162689804772234	0	0	0	0	0	0	1e-05	1e-05	"c"
"9559230"	0.390419161676647	0.617125748502994	0.378562874251497	0.363532934131737	0.245449101796407	0.00215568862275449	0.00173652694610778	0.000718562874251497	5.98802395209581e-05	5.98802395209581e-05	0.000119760479041916	0	1e-05	1e-05	1e-05	1e-05	"c"
"9559237"	0.337931034482759	0.786206896551724	0.544827586206897	0.103448275862069	0.213793103448276	0.00689655172413793	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
